country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
CAF,COUNTRY,2019,12.66692,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,
UNSDG_LAC,UNSDGREGION,2019,0.06547,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE068
KWT,COUNTRY,2019,1.99512,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
UNSDG_CENTRALASIASOUTHERNASIA,UNSDGREGION,2019,0.55348,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE113
EMR,REGION,2019,0.06707,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE20-24,ENVCAUSE,ENVCAUSE_ENVCAUSE039
UNSDG_CENTRALASIASOUTHERNASIA,UNSDGREGION,2019,1.20343,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE068
WPR,REGION,2019,24.51575,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE114
AFR,REGION,2019,0.05652,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE114
LCA,COUNTRY,2019,26.2478,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
PAN,COUNTRY,2019,19.22687,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
UNSDG_AUSTRALIANEWZEALAND,UNSDGREGION,2019,0.21689,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE114
AMR,REGION,2019,0.25514,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE039
MNE,COUNTRY,2019,1.18261,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
