country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
QAT,COUNTRY,2017,64.17847,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
IRN,COUNTRY,2010,29.88702,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
RUS,COUNTRY,2011,10.52571,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
SOM,COUNTRY,2015,13.53223,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
UNKNOWN,WHOINCOMEREGION,2014,16.69519,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
RUS,COUNTRY,2012,10.51474,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
CAN,COUNTRY,2010,6.15389,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
ARE,COUNTRY,2018,43.09622,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
OMN,COUNTRY,2012,36.60435,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
53,UNREGION,2016,6.83578,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
747,UNREGION,2011,35.07014,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
KGZ,COUNTRY,2018,44.60996,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
BRN,COUNTRY,2012,7.44206,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
EST,COUNTRY,2015,6.19011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
SYR,COUNTRY,2012,24.80122,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
GAB,COUNTRY,2016,32.87975,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
62,UNREGION,2010,59.12967,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
AUS,COUNTRY,2019,7.93744,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
CPV,COUNTRY,2010,30.08252,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
MYS,COUNTRY,2010,17.7937,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
QAT,COUNTRY,2014,58.29297,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
ARE,COUNTRY,2011,40.53284,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
COL,COUNTRY,2012,18.47215,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
MLI,COUNTRY,2014,44.81609,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
SEAR,REGION,2013,53.61123,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
BGR,COUNTRY,2014,21.16684,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
LMI_WPR,WHOINCOMEREGION,2014,39.11441,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
ISR,COUNTRY,2016,20.10555,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
BRB,COUNTRY,2014,9.99867,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
GEO,COUNTRY,2011,23.28822,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
DMA,COUNTRY,2017,9.41472,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
ESP,COUNTRY,2014,10.05989,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
GRC,COUNTRY,2016,16.64691,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
GMB,COUNTRY,2010,41.35704,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
LVA,COUNTRY,2018,12.84245,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
ATG,COUNTRY,2012,8.32574,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
UZB,COUNTRY,2012,59.73685,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
TZA,COUNTRY,2019,15.92861,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
GNQ,COUNTRY,2010,26.66685,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
SLB,COUNTRY,2012,8.22675,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
KOR,COUNTRY,2019,24.03774,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
RWA,COUNTRY,2010,36.48683,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
TTO,COUNTRY,2016,10.95355,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
COG,COUNTRY,2019,23.22098,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
NLD,COUNTRY,2015,12.36362,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
SOM,COUNTRY,2018,14.53569,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
TJK,COUNTRY,2010,63.40423,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
SEAR,REGION,2012,51.25813,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
KAZ,COUNTRY,2019,23.70282,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
AUS,COUNTRY,2013,7.31941,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
ARM,COUNTRY,2013,35.71475,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
VCT,COUNTRY,2014,9.00183,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
FRA,COUNTRY,2019,12.0337,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
MWI,COUNTRY,2019,18.17854,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
DEU,COUNTRY,2013,11.89962,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
HRV,COUNTRY,2016,18.27195,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
SWE,COUNTRY,2011,8.89035,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
JAM,COUNTRY,2017,16.30178,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
NER,COUNTRY,2010,48.11285,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
NZL,COUNTRY,2018,7.15273,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
LUX,COUNTRY,2014,10.49658,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
UZB,COUNTRY,2011,55.09954,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
RUS,COUNTRY,2011,11.6442,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
AZE,COUNTRY,2018,26.96124,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
MKD,COUNTRY,2017,37.77699,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
PSE,COUNTRY,2016,30.29228,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
COM,COUNTRY,2015,14.54326,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
VCT,COUNTRY,2013,8.97443,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
UNKNOWN,WHOINCOMEREGION,2014,20.11751,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
GNQ,COUNTRY,2016,28.05214,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
UGA,COUNTRY,2018,39.14259,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
GNQ,COUNTRY,2019,25.66867,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
HRV,COUNTRY,2017,17.98898,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
JAM,COUNTRY,2019,17.60203,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
